time_utc,coin,dir_raw,direction,closedPnl,px,sz,fee,builderFee,liquidation,oid,tid,crossed,hash,startPosition
2026-07-02T00:35:13.650000+00:00,PENGU,Close Short,SHORT,0.218658,0.006091,6626.0,0.018161,,,485249017183,76379579231680,True,0x465a1ca9b1bc8c8847d3043f0223b20202b1008f4cbfab5aea22c7fc70b06672,-6626.0
2026-07-02T08:25:18.774000+00:00,BERA,Close Short,SHORT,-3.897168,0.22146,201.3,0.02006,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '0.22044', 'method': 'market'}",485547949392,414571709074348,True,0x3af21f9c31628a1a3c6b043f0865c600002d3781cc65a8ecdebacaeef0666404,-201.3
2026-07-02T09:44:11.262000+00:00,HYPE,Close Long,LONG,0.25833,63.935,0.79,0.022728,,,485596745769,23409632484955,True,0xfcf105085d449185fe6a043f0973a202052200edf847b058a0b9b05b1c486b70,0.79
2026-07-02T16:14:12.255000+00:00,ZEC,Close Long,LONG,0.0369,439.05,0.41,0.081004,,,486000924555,518248720761596,True,0x5bc4d3290ffe3ab25d3e043f0ea5b702035c000eaaf15984ff8d7e7bcef2149c,0.41
2026-07-02T16:14:12.255000+00:00,ZEC,Close Long,LONG,0.01,439.06,0.1,0.019757,,,486000924555,727484442763222,True,0x5bc4d3290ffe3ab25d3e043f0ea5b702035c000eaaf15984ff8d7e7bcef2149c,0.51
2026-07-02T16:22:31.069000+00:00,TRX,Close Long,LONG,0.15345,0.31789,165.0,0.023603,,,486008999947,351260895130006,True,0x80b75ebf343b08b18231043f0ec1f802033b00a4cf3e278324800a11f33ee29c,165.0
2026-07-02T17:41:18.053000+00:00,STRK,Close Long,LONG,0.36818,0.03053,3681.8,0.050582,,,486080288741,484731174523205,True,0x0bad939b922c9b790d27043f0fcea102026500812d2fba4baf763eee51207563,3681.8
2026-07-03T06:35:20.908000+00:00,TRX,Close Long,LONG,0.59052,0.31862,703.0,0.100795,,,486473897694,703696703375256,True,0x75ed808c4243883a7767043f1a22e602049e0071dd46a70c19b62bdf01476225,703.0
2026-07-03T17:38:08.944000+00:00,YGG,Close Short,SHORT,-2.837305,0.023429,2971.0,0.031323,,,486829224821,765088417055412,True,0x3c4aaffcbb572f733dc4043f22f7950203ac00e2565a4e45e0135b4f7a5b095d,-2971.0
2026-07-04T09:38:31.023000+00:00,HYPER,Close Short,SHORT,1.122099,0.078979,2757.0,0.097985,,,487229075806,538063190020674,True,0x50caee9cc923b1615244043f2fade202015000826426d033f49399ef88278b4b,-2757.0
2026-07-04T10:12:44.841000+00:00,MANTA,Close Short,SHORT,0.6981,0.06264,3490.5,0.09839,,,487239390482,299407167629822,True,0x6dc6cea6555bcd126f40043f301d1a0201f3008bf05eebe4118f79f9145fa6fd,-3490.5
2026-07-04T10:52:12.710000+00:00,DOGE,Close Short,SHORT,-0.18528,0.076943,772.0,0.026729,,,487251594068,685151532226855,True,0x254eed9ec2b08df026c8043f309eb50201f200845db3acc2c91798f181b467da,-772.0
2026-07-04T10:52:12.710000+00:00,DOGE,Close Short,SHORT,-0.151866,0.076937,649.0,0.022469,,,487251594068,71139649005614,True,0x254eed9ec2b08df026c8043f309eb50201f200845db3acc2c91798f181b467da,-1421.0
2026-07-04T14:43:05.054000+00:00,KAS,Close Short,SHORT,-0.467606,0.031222,6586.0,0.092532,,,487335383435,283767116266562,True,0x1ab1bf07857d66c11c2b043f3386f90202aa00ed20708593be7a6a5a447140ab,-6586.0
2026-07-04T21:04:18.388000+00:00,ZEC,Close Long,LONG,0.3384,468.34,0.47,0.099053,,,487522856430,242531247788664,True,0xbb4d164f2d19c3cabcc6043f3857ad0202b00034c81ce29c5f15c1a1ec1d9db5,0.47
2026-07-05T09:39:57.933000+00:00,ETH,Close Short,SHORT,0.43632,1755.8,0.2424,0.191522,,,487808645517,1235411288611,True,0xbc126ecf6de63440bd8c043f41daec0202ca00b508e953125fdb1a222cea0e2b,-0.2424
2026-07-05T09:39:57.933000+00:00,ETH,Close Short,SHORT,0.10062,1755.8,0.0559,0.044167,,,487808645517,621951042292231,True,0xbc126ecf6de63440bd8c043f41daec0202ca00b508e953125fdb1a222cea0e2b,-0.2983
2026-07-05T21:56:32.836000+00:00,ETH,Close Short,SHORT,-10.4447,1793.1,0.301,0.242875,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '1793.1', 'method': 'market'}",488080842428,58319299762005,True,0x24e807fdf7a65d322661043f4b27fa0000231fe392a97c04c8b0b350b6aa371c,-0.301
2026-07-05T22:17:31.120000+00:00,CFX,Close Long,LONG,0.25578,0.04536,2205.0,0.045008,,,488095574032,690069739078946,True,0xe0a58c824721f373e21f043f4b6d8002019a0067e2251245846e37d50625cd5e,2205.0
2026-07-06T09:31:19.897000+00:00,ZEC,Close Long,LONG,-12.2529,444.6,0.47,0.094032,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '444.9', 'method': 'market'}",488518611542,840410329908132,True,0xb1574f09590410c3b2d1043f53fcc800009266eef4072f95551ffa5c1807eaae,0.47
2026-07-06T12:47:08.629000+00:00,KAS,Close Short,SHORT,0.300934,0.030171,1802.0,0.024465,,,488643630696,400904714134164,True,0xa7a7731e2f199ff2a921043f5679bd0201800003ca1cbec44b701e70ee1d79dd,-1802.0
2026-07-06T13:02:42.117000+00:00,DASH,Close Short,SHORT,0.40015,34.166,2.65,0.040742,,,488658309144,142492764509475,True,0x2d9528a076cd4b002f0e043f56ac9502047b008611c069d2d15dd3f335c124ea,-2.65
2026-07-06T13:05:15.075000+00:00,SOL,Close Short,SHORT,0.28917,79.2,4.59,0.163587,,,488661783437,760665307420244,True,0xd64cd7c21b9b7fcdd7c6043f56b50102043400a7b69e9e9f7a158314da9f59b8,-4.6
2026-07-06T15:41:44.644000+00:00,SOL,Close Short,SHORT,-0.01971,81.234,0.01,0.000365,,"{'liquidatedUser': '0xf7351a5c63e0403f6f7fc77d31b5e17a229c469c', 'markPx': '81.183', 'method': 'market'}",488861902142,646752798795596,True,0xc87c88c980ee8f56c9f6043f58b60f020e8b00af1be1ae286c45341c3fe26941,-0.01
2026-07-07T01:50:33.431000+00:00,KAS,Close Short,SHORT,0.321204,0.030011,1846.0,0.02493,,,489351149685,572421481991751,True,0x35fca4f03f0d73073776043f60765802019000d5da0091d9d9c55042fe014cf1,-1846.0
2026-07-07T02:28:36.552000+00:00,VIRTUAL,Close Short,SHORT,0.2924,0.54394,170.0,0.041611,,,489376852427,164628557901448,True,0x1a82091912ed6cd71bfb043f60f2250201bd00feade08ba9be4ab46bd1e146c1,-170.0
2026-07-07T02:51:42.407000+00:00,AR,Close Short,SHORT,0.333576,1.9986,46.33,0.041667,,,489394039552,414222773621445,True,0xbcaad2861f2024adbe24043f613da50201a1006bba23437f60737dd8de23fe98,-46.33
2026-07-07T03:45:11.845000+00:00,HBAR,Close Short,SHORT,0.287616,0.072145,1284.0,0.041685,,,489431966135,475503309303871,True,0x04452ec55409e73805be043f61ed4702027500aaef0d060aa80dda18130dc122,-1284.0
2026-07-07T08:56:13.868000+00:00,LIT,Close Short,SHORT,0.4284,2.5295,36.0,0.040977,,,489605891449,619835724806668,True,0x256116f85b1a0f1826da043f65da0a0201ff00ddf61d2deac929c24b1a1de902,-36.0
2026-07-07T10:31:36.083000+00:00,FARTCOIN,Close Short,SHORT,-0.0231,0.16071,1155.0,0.083529,,,489652631498,1049500062990505,True,0x5449033f32d9827955c2043f670ece0202070024cddca14bf811ae91f1dd5c63,-1155.0
2026-07-07T11:05:33.586000+00:00,MANTA,Close Long,LONG,0.231608,0.0628,890.8,0.025174,,,489669700085,1007303910053424,True,0xcdd2b5435fe219a5cf4c043f677e7f0203cb0028fae53877719b60961ee5f390,890.8
2026-07-07T11:11:25.989000+00:00,XRP,Close Short,SHORT,0.4634,1.1198,331.0,0.166794,,,489672705569,1096097200315676,True,0xfb3b45a17aa3f86cfcb5043f6791bc020366008715a7173f9f03f0f439a7d257,-331.0
2026-07-07T13:04:30.906000+00:00,PUMP,Close Short,SHORT,0.113954,0.001631,113954.0,0.083636,,,489743705625,1061072271138438,True,0xec66ca07229d008fede0043f69036c0202cd00ecbd901f61902f7559e190da7a,-113954.0
2026-07-07T13:16:02.856000+00:00,XLM,Close Short,SHORT,0.32093,0.19301,479.0,0.041603,,,489752153045,634446427126132,True,0xe7a1856625263620e91b043f69293902041d004bc02954f28b6a30b8e42a100b,-479.0
2026-07-07T13:25:38.111000+00:00,COMP,Close Short,SHORT,0.26313,17.258,5.37,0.041703,,,489760415214,1028137207949444,True,0xa321775537db4728a49b043f6948910208c8003ad2de65fa46ea22a7f6df2113,-5.37
2026-07-07T14:36:54.543000+00:00,PEOPLE,Close Short,SHORT,0.21234,0.005225,10617.0,0.024963,,,489875384081,559305170789910,True,0xf59d1b6eeeef8abff716043f6a367802069e005489e2a9929965c6c1ade364aa,-10617.0
2026-07-07T17:11:26.270000+00:00,ZK,Close Short,SHORT,0.245137,0.010998,8453.0,0.041834,,,490053953154,660698090761621,True,0xe897db8067fab0a9ea11043f6c3b3a020c0d006602fdcf7b8c6086d326fe8a94,-8453.0
2026-07-12T18:38:55.093000+00:00,BTC,Close Short,SHORT,0.05083,64131.0,0.00391,0.112838,,,494242321654,677837714475312,True,0x3523c2eebabe574d369d043fc9d8a901ae00dad455b1761fd8ec6e4179b23137,-0.00391
2026-07-12T18:38:55.093000+00:00,BTC,Close Short,SHORT,0.21073,64131.0,0.01621,0.467803,,,494242321654,352970592867313,True,0x3523c2eebabe574d369d043fc9d8a901ae00dad455b1761fd8ec6e4179b23137,-0.02012
2026-07-12T21:38:28.231000+00:00,BTC,Close Short,SHORT,1.2948,64070.0,0.01992,0.574323,,,494298147209,1041529310139249,True,0x95b44a2f5d2b139d972e043fcc26370206270014f82e326f397cf5821c2eed88,-0.01992
2026-07-12T22:52:40.007000+00:00,BTC,Close Short,SHORT,1.23984,63773.0,0.01968,0.564773,,,494343124754,966037853351153,True,0x9a0ef473d3533a669b88043fcd1af402021100596e5659383dd79fc692571451,-0.01968
2026-07-12T23:18:37.510000+00:00,ETH,Close Short,SHORT,0.56316,1803.9,0.4332,0.351652,,,494358656849,353388126736491,True,0x95ed4932e2f4f4d59767043fcd70c902013200187df813a739b5f485a1f8cec0,-0.4332
2026-07-13T01:30:10.864000+00:00,BTC,Close Short,SHORT,2.5428,63680.0,0.01956,0.560511,,,494488633817,942885392463923,True,0xbb0b9ec3cb27da21bc85043fcf241f02047f00a9662af8f35ed44a168a2bb40c,-0.01956
2026-07-13T02:03:43.276000+00:00,BTC,Close Short,SHORT,4.46656,63445.0,0.01994,0.569291,,,494522163504,692075298354809,True,0x40ff6aa5a3eefc5f4279043fcf93930205a7008b3ee21b31e4c815f862e2d649,-0.01994
2026-07-13T02:03:43.276000+00:00,BTC,Close Short,SHORT,0.03808,63445.0,0.00017,0.004853,,,494522163504,143850670671394,True,0x40ff6aa5a3eefc5f4279043fcf93930205a7008b3ee21b31e4c815f862e2d649,-0.02011
2026-07-13T02:52:49.751000+00:00,ZEC,Close Short,SHORT,2.439142,524.63,0.62,0.146371,,,494562696595,981498069625678,True,0x11c7b2efddbff5c51341043fd034c202022100d578b31497b5905e429cb3cfaf,-0.62
2026-07-13T03:15:50.988000+00:00,ETH,Close Short,SHORT,5.285,1793.8,0.35,0.282523,,,494581898740,926387590234283,True,0x64d0c63b3c7b7d2e664a043fd0820b0208c00020d77e9c000899718dfb7f5719,-0.35
2026-07-13T03:15:50.988000+00:00,ETH,Close Short,SHORT,1.6948,1793.7,0.1115,0.089998,,,494581898740,529472954483059,True,0x64d0c63b3c7b7d2e664a043fd0820b0208c00020d77e9c000899718dfb7f5719,-0.4615
2026-07-13T03:32:59.229000+00:00,BTC,Close Short,SHORT,3.13584,62935.0,0.02224,0.629853,,,494597911643,515874600617506,True,0x33b03da4a17934763529043fd0ba4a020415008a3c7c5348d778e8f7607d0e60,-0.02224
2026-07-13T04:44:49.782000+00:00,BTC,Close Short,SHORT,1.55839,62733.0,0.01513,0.427117,,,494645093397,958273236621334,True,0x8a480972cbf5379f8bc1043fd1a972020335005866f856712e10b4c58af9118a,-0.01513
2026-07-13T04:44:49.782000+00:00,BTC,Close Short,SHORT,0.78074,62733.0,0.00758,0.213982,,,494645093397,790228116231657,True,0x8a480972cbf5379f8bc1043fd1a972020335005866f856712e10b4c58af9118a,-0.02271
2026-07-13T10:46:02.531000+00:00,PAXG,Close Long,LONG,-4.041,4048.4,0.045,0.08198,,,494819609142,59524271055120,True,0xcf1382c5edea00d2d08d043fd6523302022700ab88ed1fa472dc2e18aceddabd,0.045
2026-07-13T12:13:27.118000+00:00,BTC,Close Short,SHORT,2.73728,62880.0,0.04277,1.210219,,,494862308037,728209959272167,True,0x594f98f9903ef5c75ac9043fd7716e02032d00df2b321499fd18444c4f32cfb1,-0.04277
2026-07-13T13:01:21.682000+00:00,ETH,Close Short,SHORT,4.28736,1772.3,0.5104,0.407061,,,494888156127,735952917408113,True,0xdfb54dc442fc0588e12f043fd80f9c0203d300a9ddff245a837df91701ffdf73,-0.5105
2026-07-13T13:16:06.981000+00:00,ETH,Close Short,SHORT,0.00127,1768.0,0.0001,0.000079,,,494895260544,191243951456086,True,0xf8c471936d34a26cfa3e043fd83f7c0202b700790837c13f9c8d1ce62c387c57,-0.0001
2026-07-13T14:11:33.415000+00:00,ETH,Close Short,SHORT,1.4812,1770.8,0.529,0.421538,,,494946591074,872936295249710,True,0x02bfd9bd125cf43b0439043fd8f6b202044b00a2ad50130da688850fd150ce25,-0.529
2026-07-13T14:50:32.087000+00:00,ZEC,Close Long,LONG,1.141,514.64,0.7,0.162111,,,494980300067,57505353701401,True,0x731d8a7ac88e97457497043fd976c302089100606381b61716e635cd87827130,0.7
2026-07-13T15:13:24.596000+00:00,AXS,Close Long,LONG,-3.668328,0.99156,97.2,0.04337,,,494994521635,691687245085760,True,0x05ad4bc8ac14b2080727043fd9c2da02017f00ae4717d0daa975f71b6b188bf2,97.2
2026-07-13T18:49:48.127000+00:00,ETH,Close Short,SHORT,5.30236,1763.6,0.4571,0.362763,,,495119122789,605745012261379,True,0xba41ede1c9df5bd1bbbb043fdc909802028500c764d27aa35e0a993488d335bc,-0.4571
2026-07-13T18:49:48.127000+00:00,ETH,Close Short,SHORT,0.50112,1763.6,0.0432,0.034284,,,495119122789,1021788956068912,True,0xba41ede1c9df5bd1bbbb043fdc909802028500c764d27aa35e0a993488d335bc,-0.5003
2026-07-13T18:52:12.982000+00:00,BTC,Close Short,SHORT,1.0471,62066.0,0.0037,0.103339,,,495120389646,287182525353372,True,0x94364b6d4aa1ef0695b0043fdc98ac0201b60052e5a50dd837fef6c009a5c8f1,-0.0037
2026-07-13T18:52:12.982000+00:00,BTC,Close Short,SHORT,5.74207,62066.0,0.02029,0.566693,,,495120389646,211262009254791,True,0x94364b6d4aa1ef0695b0043fdc98ac0201b60052e5a50dd837fef6c009a5c8f1,-0.02399
2026-07-13T20:53:27.652000+00:00,XPL,Close Short,SHORT,0.260494,0.088546,1118.0,0.044547,,,495174449210,274860191050915,True,0x42f119d8d0d7d368446a043fde26960201ff00be6bdaf23ae6b9c52b8fdbad52,-1118.0
2026-07-13T20:53:27.652000+00:00,XPL,Close Short,SHORT,0.434079,0.088546,1863.0,0.074232,,,495174449210,307589275376772,True,0x42f119d8d0d7d368446a043fde26960201ff00be6bdaf23ae6b9c52b8fdbad52,-2981.0
2026-07-13T20:53:27.652000+00:00,XPL,Close Short,SHORT,0.408496,0.088537,1688.0,0.067252,,,495174449210,961780092410343,True,0x42f119d8d0d7d368446a043fde26960201ff00be6bdaf23ae6b9c52b8fdbad52,-4669.0
