event_ts,dir,coin,tfs,align,h1,d1m,d5m,d15m,d1h,mtf,pnl,close_ts,price
2026-07-13T14:01:48.498+00:00,SHORT,BTC,1,75,DOWN,SHORT,HOLD,HOLD,HOLD,1m SHORT 100% RSI54 SIDEWAYS · 5m HOLD 50% RSI36 DOWN · 15m HOLD 50% RSI24 DOWN · 1h HOLD 50% RSI27 DOWN,6.78917,2026-07-13T18:52:13.549+00:00,62351.5
2026-07-13T14:44:10.609+00:00,LONG,ZEC,2,100,SIDEWAYS,HOLD,HOLD,LONG,LONG,1m HOLD 0% RSI50 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 100% RSI43 SIDEWAYS · 1h LONG 100% RSI30 SIDEWAYS,1.225,2026-07-13T14:50:32.369+00:00,512.88
2026-07-13T14:54:36.053+00:00,SHORT,ETH,1,50,DOWN,HOLD,SHORT,HOLD,HOLD,1m HOLD 50% RSI55 UP · 5m SHORT 100% RSI63 SIDEWAYS · 15m HOLD 50% RSI40 DOWN · 1h HOLD 50% RSI23 DOWN,5.80348,2026-07-13T18:49:48.689+00:00,1775.25
2026-07-13T20:26:43.806+00:00,SHORT,XPL,4,100,DOWN,SHORT,SHORT,SHORT,SHORT,1m SHORT 80% RSI38 DOWN · 5m SHORT 67% RSI45 DOWN · 15m SHORT 67% RSI45 DOWN · 1h SHORT 100% RSI51 DOWN,1.103069,2026-07-13T20:53:28.215+00:00,0.088785
2026-07-13T21:56:17.384+00:00,SHORT,XRP,3,75,DOWN,SHORT,SHORT,SHORT,HOLD,1m SHORT 100% RSI73 SIDEWAYS · 5m SHORT 100% RSI42 DOWN · 15m SHORT 67% RSI47 DOWN · 1h HOLD 50% RSI31 DOWN,-20.597,2026-07-14T12:35:56.029+00:00,1.05815
2026-07-13T23:52:52.094+00:00,SHORT,SOL,2,75,DOWN,HOLD,SHORT,SHORT,HOLD,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI63 SIDEWAYS · 15m SHORT 100% RSI48 SIDEWAYS · 1h HOLD 50% RSI34 DOWN,1.22705,2026-07-14T03:17:01.431+00:00,74.8605
2026-07-14T05:35:34.829+00:00,LONG,ZEC,3,50,SIDEWAYS,LONG,LONG,HOLD,LONG,1m LONG 100% RSI48 SIDEWAYS · 5m LONG 100% RSI57 UP · 15m HOLD 50% RSI69 UP · 1h LONG 100% RSI50 SIDEWAYS,1.0488,2026-07-14T11:17:19.916+00:00,508.055
2026-07-14T05:39:33.777+00:00,LONG,SOL,3,75,SIDEWAYS,LONG,HOLD,LONG,LONG,1m LONG 100% RSI25 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m LONG 67% RSI54 UP · 1h LONG 100% RSI45 SIDEWAYS,0.8216,2026-07-14T11:10:08.993+00:00,75.3215
2026-07-14T17:03:06.051+00:00,SHORT,CASHCAT,3,100,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI56 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 67% RSI36 SIDEWAYS · 1h SHORT 100% RSI48 SIDEWAYS,5.014976,2026-07-14T17:25:13.383+00:00,0.16984
2026-07-14T17:09:06.744+00:00,SHORT,WLD,3,100,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI57 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI48 SIDEWAYS · 1h SHORT 100% RSI70 SIDEWAYS,1.85736,2026-07-14T22:19:17.436+00:00,0.41153
2026-07-14T19:41:11.843+00:00,SHORT,FARTCOIN,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI60 SIDEWAYS · 15m SHORT 100% RSI41 SIDEWAYS · 1h SHORT 100% RSI73 SIDEWAYS,1.3481,2026-07-14T20:17:12.625+00:00,0.14399
2026-07-14T19:41:15.023+00:00,SHORT,TAO,3,100,SIDEWAYS,HOLD,SHORT,SHORT,SHORT,1m HOLD 0% RSI50 SIDEWAYS · 5m SHORT 100% RSI64 SIDEWAYS · 15m SHORT 100% RSI45 SIDEWAYS · 1h SHORT 100% RSI60 SIDEWAYS,1.90233,2026-07-14T22:21:02.876+00:00,203.195
2026-07-14T22:26:06.297+00:00,SHORT,SPX,3,100,SIDEWAYS,SHORT,LONG,SHORT,SHORT,1m SHORT 100% RSI86 SIDEWAYS · 5m LONG 100% RSI46 SIDEWAYS · 15m SHORT 100% RSI44 SIDEWAYS · 1h SHORT 100% RSI73 SIDEWAYS,1.072032,2026-07-15T16:43:05.826+00:00,0.3728
2026-07-14T23:09:05.896+00:00,SHORT,HYPE,3,50,SIDEWAYS,SHORT,SHORT,HOLD,SHORT,1m SHORT 80% RSI45 DOWN · 5m SHORT 67% RSI53 SIDEWAYS · 15m HOLD 50% RSI58 UP · 1h SHORT 100% RSI77 SIDEWAYS,1.37223,2026-07-15T01:20:13.681+00:00,65.6815
2026-07-15T00:31:19.232+00:00,SHORT,CRV,3,100,SIDEWAYS,SHORT,LONG,SHORT,SHORT,1m SHORT 100% RSI43 SIDEWAYS · 5m LONG 100% RSI48 SIDEWAYS · 15m SHORT 100% RSI61 SIDEWAYS · 1h SHORT 100% RSI56 SIDEWAYS,1.273041,2026-07-15T01:55:12.64+00:00,0.22353
2026-07-15T01:26:20.745+00:00,SHORT,NEAR,3,75,SIDEWAYS,SHORT,HOLD,SHORT,SHORT,1m SHORT 100% RSI78 SIDEWAYS · 5m HOLD 0% RSI50 SIDEWAYS · 15m SHORT 100% RSI45 DOWN · 1h SHORT 100% RSI60 SIDEWAYS,1.136576,2026-07-15T08:09:01.853+00:00,2.0101
